Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,201.00,201.320007,195.800003,196.610001,3487300,196.610001
2016-10-06,202.460007,204.210007,200.210007,201.00,4697000,201.00
2016-10-05,212.240005,213.149994,208.119995,208.460007,1871900,208.460007
2016-10-04,213.100006,213.320007,208.820007,211.410004,3535400,211.410004
2016-10-03,212.300003,215.669998,208.25,213.699997,5982700,213.699997
2016-09-30,202.210007,204.979996,199.550003,204.029999,2579500,204.029999
2016-09-29,205.600006,207.330002,200.580002,200.699997,2713600,200.699997
2016-09-28,207.509995,208.25,205.259995,206.270004,2047800,206.270004
2016-09-27,209.649994,209.979996,204.610001,205.809998,3367000,205.809998
2016-09-26,206.50,211.00,206.50,208.990005,2389800,208.990005
2016-09-23,205.990005,210.179993,205.669998,207.449997,2895300,207.449997
2016-09-22,206.399994,207.279999,203.00,206.429993,2381500,206.429993
2016-09-21,206.369995,207.00,201.559998,205.220001,2629200,205.220001
2016-09-20,206.850006,207.75,203.910004,204.639999,2408500,204.639999
2016-09-19,207.00,209.429993,205.00,206.339996,2297000,206.339996
2016-09-16,200.419998,205.699997,199.00,205.399994,3079900,205.399994
2016-09-15,196.490005,202.520004,196.399994,200.419998,3077200,200.419998
2016-09-14,195.75,197.919998,194.860001,196.410004,2254500,196.410004
2016-09-13,197.059998,198.490005,193.449997,196.050003,3571200,196.050003
2016-09-12,195.00,201.369995,194.100006,198.300003,3710900,198.300003
2016-09-09,199.089996,199.919998,193.699997,194.470001,3742900,194.470001
2016-09-08,199.550003,199.889999,196.360001,197.360001,3370000,197.360001
